,FAT1 (M),KRAS (M),BRAF (M),TP53 (M)
FAT1 (M),-1.73,-1.49,-0.01,-1.4
KRAS (M),-1.43,0.97,-3.4,-1.45
BRAF (M),-0.01,-3.37,-0.38,-1.3
TP53 (M),-3.25,-3.67,-3.56,2.17
