,FAT1 (M),KRAS (M),BRAF (M),CARD11 (M)
FAT1 (M),-2.63,-1.41,0.14,0.0
KRAS (M),-0.92,-0.01,-3.2,-0.81
BRAF (M),0.0,-2.98,-1.28,0.0
CARD11 (M),0.26,-1.36,0.27,-3.02
