,FAT1 (M),KRAS (M),BRAF (M),KMT2A (M)
FAT1 (M),-2.71,-1.22,0.0,1.12
KRAS (M),-1.07,-0.01,-2.96,-0.85
BRAF (M),0.01,-3.18,-1.27,-0.0
KMT2A (M),-0.0,-1.5,0.63,-2.93
