,FAT1 (M),KRAS (M),BRAF (M),MAPK3/16p (Amp)
FAT1 (M),-2.41,-1.46,0.02,-1.18
KRAS (M),-0.89,0.22,-3.58,-1.42
BRAF (M),0.0,-2.87,-1.02,-1.74
MAPK3/16p (Amp),-0.71,-0.84,-2.11,-0.59
