,FAT1 (M),KRAS (M),BRAF (M),TP53/17p (Del)
FAT1 (M),-2.17,-1.27,-0.0,-2.08
KRAS (M),-1.25,0.33,-3.28,-1.13
BRAF (M),-0.01,-3.08,-0.85,-1.55
TP53/17p (Del),-1.97,-1.2,-2.04,0.24
