,FAT1 (M),KRAS (M),BRAF (M),KMT2D (M)
FAT1 (M),-2.98,-1.13,-0.01,1.77
KRAS (M),-0.91,0.01,-3.05,-0.92
BRAF (M),-0.0,-3.06,-1.28,-0.0
KMT2D (M),-0.0,-1.14,0.41,-2.05
