,FAT1 (M),KRAS (M),BRAF (M),CTNNB1 (M)
FAT1 (M),-2.65,-1.47,0.2,0.32
KRAS (M),-0.84,0.0,-3.19,-0.76
BRAF (M),0.0,-2.99,-1.24,-1.0
CTNNB1 (M),0.0,-0.25,-1.23,-2.29
