,FAT1 (M),KRAS (M),BRAF (M),PIK3R1 (M)
FAT1 (M),-2.62,-1.4,0.15,-0.21
KRAS (M),-0.93,-0.01,-3.11,-1.05
BRAF (M),0.0,-3.06,-1.27,-0.14
PIK3R1 (M),-0.06,-0.94,-0.49,-2.79
