,FAT1 (M),KRAS (M),BRAF (M),ATM (M)
FAT1 (M),-2.63,-1.42,0.14,0.0
KRAS (M),-0.91,-0.01,-3.09,-0.55
BRAF (M),0.0,-3.06,-1.28,0.0
ATM (M),0.22,-0.7,0.0,-2.45
