,FAT1 (M),KRAS (M),BRAF (M),PIK3CA (M)
FAT1 (M),-2.66,-1.21,0.15,0.0
KRAS (M),-1.08,0.02,-2.74,-0.42
BRAF (M),0.0,-3.53,-1.26,-0.0
PIK3CA (M),0.38,-0.0,-0.61,-1.18
