,FAT1 (M),KRAS (M),BRAF (M),PTPRS (M)
FAT1 (M),-2.73,-1.32,0.01,0.93
KRAS (M),-0.94,0.0,-3.01,-0.75
BRAF (M),0.0,-3.12,-1.28,0.0
PTPRS (M),0.0,-1.2,0.27,-2.16
