,FAT1 (M),KRAS (M),BRAF (M),KMT2C (M)
FAT1 (M),-2.72,-1.55,0.12,1.32
KRAS (M),-0.69,-0.0,-3.26,-1.29
BRAF (M),0.0,-2.94,-1.28,-0.23
KMT2C (M),0.0,-0.72,-0.18,-2.71
