,FAT1 (M),KRAS (M),BRAF (M),PTCH1 (M)
FAT1 (M),-2.62,-1.41,0.12,0.0
KRAS (M),-0.91,-0.02,-3.04,-0.71
BRAF (M),0.0,-3.13,-1.27,0.0
PTCH1 (M),1.43,-1.1,0.32,-3.17
