,FAT1 (M),KRAS (M),BRAF (M),SMAD4/18q (Del)
FAT1 (M),-1.69,-1.86,-0.04,-2.61
KRAS (M),-0.77,0.36,-3.59,-0.66
BRAF (M),-0.86,-2.96,-0.45,-1.75
SMAD4/18q (Del),-1.84,-2.59,-3.67,1.37
