,FAT1 (M),KRAS (M),BRAF (M),SETD2 (M)
FAT1 (M),-2.6,-1.58,0.11,0.0
KRAS (M),-0.79,-0.02,-3.23,-0.8
BRAF (M),0.0,-2.96,-1.28,0.0
SETD2 (M),0.47,-1.39,0.22,-3.11
