,FAT1 (M),KRAS (M),BRAF (M),BCOR (M)
FAT1 (M),-2.73,-0.91,0.2,0.0
KRAS (M),-1.66,-0.02,-2.94,-0.01
BRAF (M),0.0,-3.25,-1.27,0.0
BCOR (M),1.38,-1.47,0.49,-2.99
