,T0,T1,T2,E_3
T0,-0.88,-0.73,0.16,0.68
T1,-0.27,-1.96,0.04,-0.02
T2,-0.09,0.5,-2.17,0.71
E_3,-0.91,-0.36,-0.36,-1.68
