,T0,T1,T2,B_0
T0,-0.78,-0.94,0.04,0.0
T1,-0.14,-2.05,-0.01,0.39
T2,0.25,0.56,-2.12,-0.38
B_0,-0.06,0.02,0.01,-1.67
