,T0,T1,T2,D_0
T0,-0.83,-1.07,0.11,0.3
T1,-0.22,-2.13,-0.18,0.77
T2,0.15,0.61,-2.11,-0.17
D_0,-0.05,0.13,0.23,-1.33
