,T0,T1,T2,C_0
T0,-0.77,-1.12,0.01,-0.01
T1,0.0,-2.04,-0.07,0.12
T2,0.26,0.56,-2.14,-0.23
C_0,-0.92,0.01,0.19,-1.57
