,T0,T1,T2,C_3
T0,-0.68,-1.11,0.0,0.0
T1,-0.88,-2.01,0.0,0.0
T2,0.03,1.55,-2.11,-0.0
C_3,-0.11,0.07,-0.3,-0.41
