,T0,T1,T2,D_0
T0,-0.67,-1.25,0.0,-0.01
T1,-0.89,-2.14,-0.0,1.01
T2,0.04,1.53,-2.11,-0.01
D_0,-0.04,-0.0,0.0,-2.13
