,T0,T1,T2,A_0
T0,-0.7,-0.97,-0.03,0.31
T1,-1.0,-1.99,0.0,-0.0
T2,0.12,1.61,-2.08,-1.2
A_0,-0.0,-0.62,-0.16,-2.23
