,T0,T1,T2,C_0
T0,-0.7,-0.39,0.0,-0.27
T1,-0.1,-1.85,0.0,0.0
T2,0.58,0.47,-2.15,-0.38
C_0,-0.42,-0.0,-0.43,-1.46
