,MET (M),KRAS (M),BRAF (M),RBM10 (M)
MET (M),-2.69,-2.0,-1.25,-0.75
KRAS (M),-1.89,-0.52,-1.76,-0.59
BRAF (M),-1.26,-1.68,-2.52,-0.9
RBM10 (M),-0.97,-0.18,-1.03,-1.97
