,MET (M),KRAS (M),BRAF (M),ARID2 (M)
MET (M),-2.75,-1.9,-1.25,-0.0
KRAS (M),-1.99,-0.55,-1.8,-0.83
BRAF (M),-1.25,-1.65,-2.58,0.0
ARID2 (M),-0.0,-0.61,0.0,-3.29
