,MET (M),KRAS (M),BRAF (M),BCL2/18q (Del)
MET (M),-2.59,-1.97,-1.26,-0.76
KRAS (M),-1.97,-0.33,-1.94,-1.38
BRAF (M),-1.24,-1.63,-2.4,-0.99
BCL2/18q (Del),-0.88,-1.03,-1.11,-0.76
