,MET (M),KRAS (M),BRAF (M),ARID1A (M)
MET (M),-2.73,-1.98,-1.23,-0.38
KRAS (M),-1.92,-0.55,-1.82,-0.58
BRAF (M),-1.25,-1.64,-2.58,-0.0
ARID1A (M),-0.54,-0.2,-0.0,-2.92
