,MET (M),KRAS (M),BRAF (M),PIK3CA (M)
MET (M),-2.75,-1.83,-1.23,-0.18
KRAS (M),-2.07,-0.53,-1.78,-0.9
BRAF (M),-1.24,-1.69,-2.55,-0.8
PIK3CA (M),-0.25,-0.36,-0.88,-2.74
