,MET (M),KRAS (M),BRAF (M),TERT/5p (Amp)
MET (M),-2.56,-1.82,-1.28,-0.61
KRAS (M),-2.05,-0.09,-2.11,-2.69
BRAF (M),-1.07,-1.68,-2.19,-1.83
TERT/5p (Amp),-0.44,-0.94,-0.69,-0.29
