,MET (M),KRAS (M),BRAF (M),CDKN2A/9p (Del)
MET (M),-2.5,-1.94,-1.28,-0.97
KRAS (M),-2.07,-0.21,-2.3,-1.68
BRAF (M),-1.26,-1.47,-2.34,-1.04
CDKN2A/9p (Del),-1.03,-1.0,-1.37,-0.38
