,MET (M),KRAS (M),BRAF (M),ATRX (M)
MET (M),-2.74,-2.03,-1.26,-0.01
KRAS (M),-1.88,-0.56,-1.66,0.0
BRAF (M),-1.25,-1.8,-2.56,0.0
ATRX (M),-0.27,0.46,0.74,-3.71
