,MET (M),KRAS (M),BRAF (M),EGFR/7p (Amp)
MET (M),-2.68,-2.08,-1.25,-0.18
KRAS (M),-1.74,-0.21,-1.67,-1.6
BRAF (M),-1.17,-2.07,-2.29,-1.0
EGFR/7p (Amp),-0.94,-2.61,-1.4,-0.29
