,MET (M),KRAS (M),BRAF (M),MCL1/1q (Amp)
MET (M),-2.4,-1.61,-1.16,-2.01
KRAS (M),-2.7,-0.22,-1.78,-1.6
BRAF (M),-1.36,-1.62,-2.39,-0.66
MCL1/1q (Amp),-2.23,-0.51,-0.72,-0.38
