,MET (M),KRAS (M),BRAF (M),SMAD4 (M)
MET (M),-2.74,-1.95,-1.23,-0.13
KRAS (M),-1.95,-0.54,-1.74,-0.9
BRAF (M),-1.25,-1.72,-2.56,-0.33
SMAD4 (M),-0.23,-0.68,-0.41,-3.18
