,MET (M),KRAS (M),BRAF (M),NF1 (M)
MET (M),-2.73,-1.92,-1.22,-0.28
KRAS (M),-1.97,-0.52,-1.78,-1.25
BRAF (M),-1.24,-1.65,-2.58,-0.05
NF1 (M),-0.3,-0.96,-0.02,-2.54
