,MET (M),KRAS (M),BRAF (M),KEAP1 (M)
MET (M),-2.7,-1.76,-1.22,-1.19
KRAS (M),-2.12,-0.53,-1.67,-0.44
BRAF (M),-1.26,-1.76,-2.54,-0.4
KEAP1 (M),-1.5,-0.0,-0.59,-2.04
