,MET (M),KRAS (M),BRAF (M),SMARCA4 (M)
MET (M),-2.72,-1.89,-1.2,-0.94
KRAS (M),-2.01,-0.53,-1.97,-0.82
BRAF (M),-1.23,-1.51,-2.59,-0.0
SMARCA4 (M),-1.04,-0.04,-0.0,-2.61
