,MET (M),KRAS (M),BRAF (M),STK11 (M)
MET (M),-2.67,-1.76,-1.18,-1.59
KRAS (M),-2.0,-0.56,-1.5,0.0
BRAF (M),-1.26,-2.04,-2.55,-0.0
STK11 (M),-2.02,0.14,-0.48,-1.74
