,TP53 (M),RB1 (M),RB1/13q (Del),SMAD4 (M)
TP53 (M),-0.3,0.0,-0.01,-0.36
RB1 (M),1.05,-3.74,0.0,-0.0
RB1/13q (Del),-0.42,0.0,-1.06,-0.49
SMAD4 (M),-1.02,-0.0,-0.61,-2.99
