,TP53 (M),RB1 (M),RB1/13q (Del),MCL1/1q (Amp)
TP53 (M),-0.06,0.0,-0.01,-1.15
RB1 (M),1.21,-3.85,0.0,0.0
RB1/13q (Del),-0.21,0.0,-0.95,-0.79
MCL1/1q (Amp),-0.41,0.01,-0.0,-0.45
