,TP53 (M),RB1 (M),RB1/13q (Del),RBM10 (M)
TP53 (M),-0.22,0.0,-0.01,-1.02
RB1 (M),1.06,-3.71,0.0,-0.55
RB1/13q (Del),-0.45,0.0,-1.0,-0.83
RBM10 (M),-1.71,-0.01,-0.83,-1.54
