,TP53 (M),RB1 (M),RB1/13q (Del),CH
TP53 (M),-0.22,0.0,-0.0,-0.45
RB1 (M),1.07,-3.69,0.0,-0.35
RB1/13q (Del),-0.43,0.0,-1.0,-0.34
CH,-2.09,-0.01,-1.34,-0.56
