,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M)
TP53 (M),-0.2,0.0,-0.0,-0.87
RB1 (M),0.98,-3.59,-0.0,-1.55
RB1/13q (Del),-0.48,0.0,-0.99,-0.58
STK11 (M),-2.52,-0.76,-1.35,-1.08
