,TP53 (M),RB1 (M),RB1/13q (Del),ATM (M)
TP53 (M),-0.25,0.0,-0.0,-1.83
RB1 (M),1.02,-3.7,0.0,-0.93
RB1/13q (Del),-0.38,0.0,-1.08,-0.04
ATM (M),-1.19,-0.51,-0.77,-2.33
