,TP53 (M),RB1 (M),RB1/13q (Del),MYC/8q (Amp)
TP53 (M),-0.31,0.0,-0.0,-0.0
RB1 (M),1.1,-3.61,0.0,-0.61
RB1/13q (Del),-0.43,0.0,-1.07,-0.0
MYC/8q (Amp),-1.25,-0.57,-0.57,-0.41
