,TP53 (M),RB1 (M),RB1/13q (Del),ARID1A (M)
TP53 (M),-0.31,0.0,-0.0,-0.0
RB1 (M),1.05,-3.73,0.0,-0.27
RB1/13q (Del),-0.42,0.0,-1.05,-0.65
ARID1A (M),-0.3,-0.04,-0.86,-2.75
