,TP53 (M),RB1 (M),RB1/13q (Del),KEAP1 (M)
TP53 (M),-0.24,0.0,-0.0,-0.79
RB1 (M),1.03,-3.67,-0.0,-0.98
RB1/13q (Del),-0.45,-0.0,-1.0,-0.91
KEAP1 (M),-1.42,-0.48,-0.75,-1.59
