,TP53 (M),RB1 (M),RB1/13q (Del),ERBB2 (M)
TP53 (M),-0.31,0.0,-0.0,0.0
RB1 (M),1.05,-3.74,0.0,-0.04
RB1/13q (Del),-0.43,0.0,-1.06,-0.24
ERBB2 (M),-1.2,-0.01,-1.12,-2.76
