,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M)
TP53 (M),-0.31,0.0,-0.02,-0.07
RB1 (M),1.05,-3.74,0.0,-0.0
RB1/13q (Del),-0.42,0.0,-1.07,-0.01
ATRX (M),-0.85,-0.0,-0.17,-3.19
