,TP53 (M),RB1 (M),RB1/13q (Del),TERT/5p (Amp)
TP53 (M),-0.23,0.0,-0.0,-0.31
RB1 (M),1.05,-3.88,0.0,0.32
RB1/13q (Del),-0.33,0.0,-0.99,-0.42
TERT/5p (Amp),-0.53,0.0,-0.17,-0.42
