,T0,T1,T2,E_3
T0,-0.85,-0.13,-0.02,0.18
T1,-0.06,-1.96,0.0,-0.19
T2,-0.0,0.75,-2.22,0.16
E_3,0.01,-0.01,0.0,-1.88
