,T0,T1,T2,B_2
T0,-0.81,-0.24,-0.0,-0.12
T1,-0.0,-1.99,0.0,0.0
T2,-0.0,0.73,-2.2,-0.01
B_2,-0.0,0.17,-0.52,-1.56
