,T0,T1,T2,A_1
T0,-0.83,-0.2,0.0,-0.0
T1,-0.01,-1.99,0.0,-0.03
T2,-0.0,0.75,-2.18,-0.29
A_1,-0.63,-0.01,-0.81,-1.99
