,T0,T1,T2,C_1
T0,-0.82,-0.25,-0.0,-0.06
T1,0.0,-1.99,0.0,0.0
T2,-0.0,0.73,-2.2,0.0
C_1,-0.68,0.34,-0.0,-1.86
