,T0,T1,T2,C_2
T0,-0.84,-0.76,-0.33,-0.09
T1,-0.38,-1.96,0.0,0.03
T2,0.33,0.0,-2.15,-0.24
C_2,-1.39,0.01,0.16,-1.61
