,T0,T1,T2,C_3
T0,-0.78,-1.08,0.0,0.06
T1,-0.23,-2.09,-0.18,0.39
T2,0.37,0.7,-2.14,-0.36
C_3,-1.01,-0.25,0.43,-0.18
