,T0,T1,T2,D_0
T0,-0.79,-1.87,-0.43,0.4
T1,-0.05,-2.15,-0.85,0.73
T2,0.64,0.92,-2.33,-0.33
D_0,-0.07,0.2,0.24,-1.01
