,T0,T1,T2,E_0
T0,-0.82,-0.82,0.3,0.5
T1,-0.38,-1.91,0.04,-0.11
T2,0.01,0.56,-2.16,0.32
E_0,-0.18,-0.43,-0.08,-2.64
