,T0,T1,T2,C_0
T0,-0.72,-1.08,0.0,-0.82
T1,-0.2,-2.01,-0.0,-0.02
T2,-0.15,0.47,-2.04,0.0
C_0,-0.08,-0.02,-0.05,-1.7
