,T0,T1,T2,D_0
T0,-0.82,-1.52,-0.0,0.3
T1,-0.1,-2.04,-0.0,-0.0
T2,-0.22,0.47,-2.02,0.0
D_0,0.0,0.7,0.19,-1.42
