,T0,T1,T2,A_0
T0,-0.79,-1.25,0.0,0.13
T1,-0.12,-1.99,-0.0,-0.9
T2,-0.16,0.46,-2.01,-0.52
A_0,0.0,-0.37,-0.62,-2.41
