,T0,T1,T2,A_1
T0,-0.95,-0.14,-0.0,0.0
T1,-0.72,-1.85,0.0,-0.0
T2,-0.13,0.36,-2.11,-0.39
A_1,0.0,-0.13,-0.17,-2.44
