,T0,T1,T2,C_2
T0,-0.86,-0.38,-0.07,-0.61
T1,-0.32,-1.92,0.0,0.0
T2,-0.0,0.24,-2.17,0.17
C_2,-0.23,0.3,0.0,-1.64
